Date,SPI3,SPI6
1/1/1901,-99,-99
2/1/1901,-99,-99
3/1/1901,1.67,-99
4/1/1901,2.12,-99
5/1/1901,2.26,-99
6/1/1901,0.86,1.37
7/1/1901,0.42,1.02
8/1/1901,0.52,1
9/1/1901,-0.13,0.17
10/1/1901,-0.27,-0.03
11/1/1901,-0.83,-0.19
12/1/1901,-0.06,-0.23
1/1/1902,-1.77,-0.49
2/1/1902,-2.19,-1.03
3/1/1902,-1.6,-0.44
4/1/1902,-0.55,-1.58
5/1/1902,-1.19,-1.76
6/1/1902,-1.95,-2.36
7/1/1902,-1.52,-1.63
8/1/1902,-1.48,-1.65
9/1/1902,-0.6,-1.25
10/1/1902,-0.43,-1.14
11/1/1902,0.31,-0.85
12/1/1902,0.74,-0.29
1/1/1903,1.32,-0.09
2/1/1903,0.84,0.37
3/1/1903,-0.44,0.55
4/1/1903,-1.84,0.72
5/1/1903,0.73,0.91
6/1/1903,0.49,0.28
7/1/1903,1.53,1.25
8/1/1903,1.84,1.86
9/1/1903,1.69,1.72
10/1/1903,1.66,2.04
11/1/1903,1,1.91
12/1/1903,1.49,2.03
1/1/1904,0.61,1.71
2/1/1904,0.48,1.01
3/1/1904,0.23,1.47
4/1/1904,-0.31,0.13
5/1/1904,-0.38,-0.2
6/1/1904,-0.51,-0.55
7/1/1904,-0.99,-1.07
8/1/1904,-1.96,-1.98
9/1/1904,-0.59,-0.8
10/1/1904,0.08,-0.47
11/1/1904,0.95,-0.55
12/1/1904,0.27,-0.5
1/1/1905,-1.57,-0.12
2/1/1905,-0.41,0.88
3/1/1905,-0.65,0.01
4/1/1905,0.16,-0.82
5/1/1905,-0.04,-0.41
6/1/1905,-0.86,-1.13
7/1/1905,-2.4,-2.26
8/1/1905,-1.26,-1.25
9/1/1905,0,-0.35
10/1/1905,0.5,-0.65
11/1/1905,0.26,-0.74
12/1/1905,-1.7,-0.45
1/1/1906,-0.49,0.35
2/1/1906,-0.07,0.19
3/1/1906,-0.03,-1.66
4/1/1906,-1.31,-1.63
5/1/1906,-1.74,-1.62
6/1/1906,1.06,0.94
7/1/1906,1.29,1.04
8/1/1906,0.91,0.67
9/1/1906,-0.32,0.1
10/1/1906,-1.05,-0.03
11/1/1906,-1.03,0.03
12/1/1906,-0.29,-0.48
1/1/1907,0.44,-1.04
2/1/1907,0.54,-1.02
3/1/1907,-0.43,-0.56
4/1/1907,1.06,0.81
5/1/1907,0.48,0.51
6/1/1907,0.25,0.04
7/1/1907,-0.24,0.01
8/1/1907,-0.04,0.02
9/1/1907,-0.89,-0.77
10/1/1907,-1.49,-1.27
11/1/1907,-2.32,-1.3
12/1/1907,-2.22,-1.35
1/1/1908,-0.81,-1.72
2/1/1908,0.25,-2.35
3/1/1908,0.43,-1.54
4/1/1908,0.13,-0.7
5/1/1908,-0.93,-0.78
6/1/1908,-0.65,-0.6
7/1/1908,-0.7,-0.7
8/1/1908,0.1,-0.07
9/1/1908,1.41,1.11
10/1/1908,1.34,0.75
11/1/1908,1.03,0.74
12/1/1908,-3.07,0.85
1/1/1909,-1.54,1.18
2/1/1909,-0.76,0.95
3/1/1909,0.2,-1.94
4/1/1909,0.69,-0.28
5/1/1909,0.45,-0.02
6/1/1909,0.41,0.35
7/1/1909,0.38,0.47
8/1/1909,0.05,0.1
9/1/1909,-0.29,-0.16
10/1/1909,-0.96,-0.54
11/1/1909,-0.93,-0.61
12/1/1909,-1.63,-0.73
1/1/1910,-0.31,-1.13
2/1/1910,0.11,-1.01
3/1/1910,-1.27,-2.17
4/1/1910,-2.08,-1.7
5/1/1910,-1.92,-1.53
6/1/1910,1,0.74
7/1/1910,0.12,-0.16
8/1/1910,0.29,0.04
9/1/1910,1.08,1.33
10/1/1910,1.57,1.3
11/1/1910,1.92,1.6
12/1/1910,0.93,1.24
1/1/1911,1.26,1.8
2/1/1911,-1.43,1.87
3/1/1911,-1.44,0.69
4/1/1911,-2.47,0.59
5/1/1911,-2.27,-2.83
6/1/1911,-1.29,-1.66
7/1/1911,-0.61,-0.9
8/1/1911,-0.38,-0.65
9/1/1911,-0.34,-0.81
10/1/1911,-0.79,-0.98
11/1/1911,-0.96,-0.97
12/1/1911,-1.41,-0.75
1/1/1912,-0.28,-0.94
2/1/1912,0.74,-0.9
3/1/1912,0.49,-1.12
4/1/1912,0.61,-0.03
5/1/1912,-0.14,0.18
6/1/1912,-1.6,-1.43
7/1/1912,-0.6,-0.46
8/1/1912,-0.16,-0.22
9/1/1912,-0.32,-0.88
10/1/1912,-0.86,-1.03
11/1/1912,-1.33,-0.99
12/1/1912,-0.39,-0.51
1/1/1913,0.35,-0.88
2/1/1913,0.32,-1.37
3/1/1913,0.06,-0.53
4/1/1913,-0.07,-0.03
5/1/1913,0.59,0.48
6/1/1913,0.36,0.25
7/1/1913,1.25,1.13
8/1/1913,0.11,0.18
9/1/1913,-0.83,-0.66
10/1/1913,-2.01,-0.6
11/1/1913,-1.59,-0.89
12/1/1913,-0.23,-0.92
1/1/1914,-0.77,-2.26
2/1/1914,0.45,-1.6
3/1/1914,0.16,-0.33
4/1/1914,0.08,-0.73
5/1/1914,-0.68,-0.44
6/1/1914,0.81,0.73
7/1/1914,0.65,0.58
8/1/1914,0.45,0.3
9/1/1914,0.73,0.93
10/1/1914,0.43,0.62
11/1/1914,0.65,0.69
12/1/1914,-0.37,0.46
1/1/1915,1.22,0.67
2/1/1915,1.42,0.84
3/1/1915,2.09,0.59
4/1/1915,1.74,1.97
5/1/1915,1.57,1.97
6/1/1915,0.36,1.2
7/1/1915,-1.02,-0.37
8/1/1915,-0.98,-0.55
9/1/1915,-0.08,0.01
10/1/1915,0.85,0.19
11/1/1915,1.17,0.2
12/1/1915,0.65,0.11
1/1/1916,-0.38,0.73
2/1/1916,-0.18,1.12
3/1/1916,-0.3,0.47
4/1/1916,-0.77,-1.18
5/1/1916,-0.46,-0.69
6/1/1916,0.46,0.28
7/1/1916,0.86,0.66
8/1/1916,0.23,0.12
9/1/1916,0.59,0.66
10/1/1916,0.86,1.06
11/1/1916,1.52,1.23
12/1/1916,1.49,1.11
1/1/1917,1.02,1.02
2/1/1917,1.07,1.63
3/1/1917,1.32,1.75
4/1/1917,1.2,1.42
5/1/1917,0.98,1.26
6/1/1917,0.53,0.9
7/1/1917,0.54,0.77
8/1/1917,0.37,0.51
9/1/1917,1.23,1.3
10/1/1917,1.38,1.33
11/1/1917,1.48,1.28
12/1/1917,0.66,1.26
1/1/1918,0.32,1.37
2/1/1918,-0.96,1.42
3/1/1918,-1.24,0.39
4/1/1918,-1.86,-0.75
5/1/1918,1.51,1
6/1/1918,0.53,0.24
7/1/1918,-0.48,-0.74
8/1/1918,-1.75,-1.24
9/1/1918,-2.15,-1.68
10/1/1918,-2.13,-1.83
11/1/1918,-1.72,-2.46
12/1/1918,-0.67,-2.26
1/1/1919,0.79,-1.91
2/1/1919,1.29,-1.39
3/1/1919,0.09,-0.78
4/1/1919,-0.59,0.23
5/1/1919,0.26,0.93
6/1/1919,0.53,0.44
7/1/1919,-0.07,-0.23
8/1/1919,-0.73,-0.69
9/1/1919,-0.47,-0.27
10/1/1919,-0.24,-0.28
11/1/1919,0.42,-0.28
12/1/1919,0.21,-0.43
1/1/1920,0.86,-0.1
2/1/1920,0.41,0.41
3/1/1920,0.09,0.08
4/1/1920,-0.6,0.31
5/1/1920,-1,-0.69
6/1/1920,-0.97,-1.04
7/1/1920,-1.75,-1.86
8/1/1920,-1.85,-1.99
9/1/1920,-1.8,-2.1
10/1/1920,-1.68,-2.27
11/1/1920,-1.4,-2.36
12/1/1920,-2.22,-2.23
1/1/1921,-0.95,-1.94
2/1/1921,-0.62,-1.59
3/1/1921,-0.97,-2.62
4/1/1921,-0.87,-1.68
5/1/1921,-1.66,-1.97
6/1/1921,0.95,0.71
7/1/1921,0.53,0.32
8/1/1921,0.04,-0.19
9/1/1921,-0.96,-0.49
10/1/1921,-1.11,-0.55
11/1/1921,-0.6,-0.43
12/1/1921,-0.18,-1.01
1/1/1922,1,-0.87
2/1/1922,1.09,-0.46
3/1/1922,0.87,0.01
4/1/1922,-2.2,0.22
5/1/1922,-1.65,-0.26
6/1/1922,0.58,0.74
7/1/1922,-0.19,-0.47
8/1/1922,-1.2,-1.42
9/1/1922,-1.13,-0.82
10/1/1922,-0.73,-0.71
11/1/1922,0.54,-0.48
12/1/1922,0.46,-0.87
1/1/1923,0.91,-0.56
2/1/1923,-0.51,0.44
3/1/1923,0.82,0.57
4/1/1923,0.96,1.17
5/1/1923,0.43,0.01
6/1/1923,-3.04,-2.32
7/1/1923,-0.67,-0.41
8/1/1923,-1.29,-1.17
9/1/1923,0.31,-0.5
10/1/1923,-0.54,-0.82
11/1/1923,0.16,-0.85
12/1/1923,-2.56,-0.2
1/1/1924,-1.17,-0.76
2/1/1924,-0.87,0.03
3/1/1924,0.04,-2
4/1/1924,-0.06,-0.99
5/1/1924,-0.54,-1.01
6/1/1924,-2.68,-2.64
7/1/1924,-1.97,-1.94
8/1/1924,-1.47,-1.55
9/1/1924,-0.49,-1.28
10/1/1924,-0.12,-1.06
11/1/1924,0.28,-0.87
12/1/1924,0.82,-0.15
1/1/1925,1.12,0.11
2/1/1925,0.86,0.34
3/1/1925,-2.38,0.55
4/1/1925,-2.36,0.39
5/1/1925,0.06,0.42
6/1/1925,0.61,0.31
7/1/1925,-0.21,-0.49
8/1/1925,-0.33,-0.34
9/1/1925,-1.29,-0.94
10/1/1925,-0.77,-0.75
11/1/1925,-0.77,-0.81
12/1/1925,0.32,-1.08
1/1/1926,1.22,-0.46
2/1/1926,1.3,-0.54
3/1/1926,1.15,0.57
4/1/1926,-0.23,0.92
5/1/1926,0.95,1.42
6/1/1926,-1.22,-0.71
7/1/1926,-1.59,-1.62
8/1/1926,-0.62,-0.42
9/1/1926,-0.3,-0.75
10/1/1926,-0.2,-0.98
11/1/1926,-1.07,-1.22
12/1/1926,-1.02,-0.65
1/1/1927,-0.21,-0.34
2/1/1927,-0.33,-1.22
3/1/1927,-0.15,-1.2
4/1/1927,0.35,-0.21
5/1/1927,-0.36,-0.67
6/1/1927,-0.03,-0.19
7/1/1927,-0.83,-0.76
8/1/1927,-1.21,-1.27
9/1/1927,-1.37,-1.31
10/1/1927,-0.96,-1.23
11/1/1927,0.31,-0.67
12/1/1927,1.01,-0.74
1/1/1928,1.58,-0.44
2/1/1928,0.56,0.32
3/1/1928,1.24,1.25
4/1/1928,1.02,1.9
5/1/1928,-0.08,0.09
6/1/1928,0.69,1
7/1/1928,0.12,0.33
8/1/1928,-0.23,-0.27
9/1/1928,0.21,0.4
10/1/1928,0.47,0.38
11/1/1928,0.83,0.37
12/1/1928,-0.13,0.05
1/1/1929,-0.6,0.32
2/1/1929,1.44,1.02
3/1/1929,1.08,0.15
4/1/1929,1.36,0.53
5/1/1929,-0.45,0.67
6/1/1929,0.03,0.33
7/1/1929,-1.04,-0.57
8/1/1929,-1.66,-1.71
9/1/1929,-1.21,-1.14
10/1/1929,-1.02,-1.39
11/1/1929,-0.28,-1.44
12/1/1929,-1.02,-1.5
1/1/1930,-0.27,-1.18
2/1/1930,0.28,-0.33
3/1/1930,-0.59,-1.36
4/1/1930,-0.2,-0.68
5/1/1930,-0.76,-0.64
6/1/1930,0.23,0
7/1/1930,-1.25,-1.3
8/1/1930,-1.44,-1.55
9/1/1930,-0.75,-0.65
10/1/1930,0.17,-0.51
11/1/1930,0.72,-0.46
12/1/1930,0.26,-0.65
1/1/1931,-0.07,0.06
2/1/1931,-1.41,0.61
3/1/1931,0.02,0.12
4/1/1931,-0.03,-0.39
5/1/1931,-0.14,-0.67
6/1/1931,-0.42,-0.53
7/1/1931,1.13,1.02
8/1/1931,0.54,0.46
9/1/1931,1.01,0.78
10/1/1931,0.88,1.22
11/1/1931,1.48,1.38
12/1/1931,1.65,1.55
1/1/1932,0.99,1.03
2/1/1932,0.41,1.49
3/1/1932,0.17,1.63
4/1/1932,0.09,0.76
5/1/1932,0.18,0.19
6/1/1932,-0.31,-0.37
7/1/1932,0.49,0.43
8/1/1932,0.66,0.63
9/1/1932,0.65,0.45
10/1/1932,0.27,0.41
11/1/1932,0.1,0.47
12/1/1932,0.29,0.59
1/1/1933,0.64,0.32
2/1/1933,0.55,0.1
3/1/1933,0.9,0.43
4/1/1933,1.31,1.16
5/1/1933,2.13,1.95
6/1/1933,1.98,2.1
7/1/1933,1.55,1.73
8/1/1933,0.89,1.29
9/1/1933,0.79,1.5
10/1/1933,0.58,1.22
11/1/1933,0.66,1.01
12/1/1933,0.27,0.72
1/1/1934,0.68,0.64
2/1/1934,0.92,0.74
3/1/1934,-0.41,0.04
4/1/1934,-0.17,0.28
5/1/1934,-0.81,-0.07
6/1/1934,-0.65,-0.87
7/1/1934,0.24,0.13
8/1/1934,1.1,0.93
9/1/1934,0.66,0.37
10/1/1934,-0.02,0.06
11/1/1934,-0.72,0.34
12/1/1934,-0.01,0.51
1/1/1935,1.23,0.25
2/1/1935,0.4,-0.75
3/1/1935,0.13,-0.13
4/1/1935,-0.04,0.99
5/1/1935,-0.68,-0.48
6/1/1935,1,0.91
7/1/1935,0.66,0.56
8/1/1935,0.86,0.71
9/1/1935,0.6,0.88
10/1/1935,0.57,0.73
11/1/1935,0.27,0.72
12/1/1935,-0.21,0.38
1/1/1936,-0.77,0.4
2/1/1936,1.21,0.42
3/1/1936,1.24,0.17
4/1/1936,1,0.14
5/1/1936,0.31,0.9
6/1/1936,0.42,0.76
7/1/1936,-0.23,0
8/1/1936,-0.6,-0.55
9/1/1936,-0.94,-0.73
10/1/1936,-0.76,-0.75
11/1/1936,-0.09,-0.58
12/1/1936,0.41,-0.74
1/1/1937,1.12,-0.49
2/1/1937,1.26,0.08
3/1/1937,1.47,0.79
4/1/1937,2.47,2.41
5/1/1937,1.58,1.87
6/1/1937,0.03,0.54
7/1/1937,0.33,1.1
8/1/1937,-0.75,-0.35
9/1/1937,-0.71,-0.7
10/1/1937,-1.46,-0.9
11/1/1937,-0.46,-0.94
12/1/1937,0.19,-0.65
1/1/1938,0.01,-1.57
2/1/1938,0.75,-0.41
3/1/1938,0.11,0.07
4/1/1938,0.19,-0.17
5/1/1938,-0.15,0.19
6/1/1938,2.21,2.14
7/1/1938,2.2,2.09
8/1/1938,1.82,1.72
9/1/1938,0.73,1.56
10/1/1938,0.24,1.36
11/1/1938,0.05,1.32
12/1/1938,-0.35,0.47
1/1/1939,-1.58,0.03
2/1/1939,-1.36,-0.1
3/1/1939,-0.31,-0.6
4/1/1939,0.07,-0.91
5/1/1939,-0.52,-1.06
6/1/1939,-0.62,-0.81
7/1/1939,-1.26,-1.24
8/1/1939,-0.69,-0.79
9/1/1939,-0.94,-1.17
10/1/1939,-0.79,-1.32
11/1/1939,-1.08,-1.28
12/1/1939,-0.82,-1.2
1/1/1940,-0.22,-0.94
2/1/1940,-1,-1.27
3/1/1940,-1.53,-1.3
4/1/1940,-0.03,-0.51
5/1/1940,0.08,-0.42
6/1/1940,0.74,0.45
7/1/1940,0.68,0.59
8/1/1940,0.84,0.79
9/1/1940,0,0.24
10/1/1940,-0.08,0.25
11/1/1940,-0.47,0.26
12/1/1940,0.4,0.07
1/1/1941,0.39,-0.09
2/1/1941,0.3,-0.51
3/1/1941,0.13,0.29
4/1/1941,-0.81,-0.36
5/1/1941,-1.68,-1.2
6/1/1941,-2.04,-2.02
7/1/1941,-2.49,-2.61
8/1/1941,-1.47,-1.7
9/1/1941,-0.48,-1.14
10/1/1941,-0.13,-1.27
11/1/1941,-0.3,-1.32
12/1/1941,-1.8,-0.92
1/1/1942,-1.93,-0.35
2/1/1942,0.58,-0.29
3/1/1942,0.35,-1.44
4/1/1942,0.67,-0.31
5/1/1942,0.14,0.27
6/1/1942,0.79,0.76
7/1/1942,0.36,0.44
8/1/1942,1.23,1.17
9/1/1942,0.27,0.5
10/1/1942,0.04,0.16
11/1/1942,-1.6,0.06
12/1/1942,-0.54,0
1/1/1943,0.92,0.18
2/1/1943,1.59,-1.15
3/1/1943,0.6,-0.43
4/1/1943,-0.76,0.34
5/1/1943,0.31,1.25
6/1/1943,1.19,1.23
7/1/1943,0.32,0.13
8/1/1943,-0.82,-0.76
9/1/1943,-0.28,0.2
10/1/1943,0.49,0.5
11/1/1943,1.22,0.33
12/1/1943,0.64,-0.07
1/1/1944,-1.42,0.3
2/1/1944,0.48,1.23
3/1/1944,1.3,0.92
4/1/1944,0.94,-0.02
5/1/1944,0.02,0.11
6/1/1944,-1.41,-0.75
7/1/1944,-0.43,-0.2
8/1/1944,-0.7,-0.71
9/1/1944,0.08,-0.43
10/1/1944,0.14,-0.15
11/1/1944,0.77,0.02
12/1/1944,0.75,0.29
1/1/1945,0.66,0.2
2/1/1945,-0.95,0.67
3/1/1945,-1.36,0.49
4/1/1945,-0.06,0.31
5/1/1945,-0.61,-1.09
6/1/1945,0.53,0.25
7/1/1945,-0.05,-0.12
8/1/1945,0.11,-0.02
9/1/1945,-0.35,-0.16
10/1/1945,-0.22,-0.25
11/1/1945,-0.42,-0.27
12/1/1945,-0.39,-0.53
1/1/1946,-1.35,-0.44
2/1/1946,0.26,-0.47
3/1/1946,0.31,-0.43
4/1/1946,0.83,-0.12
5/1/1946,0.38,0.27
6/1/1946,1.09,1.05
7/1/1946,0.71,0.81
8/1/1946,0.26,0.29
9/1/1946,-0.81,-0.3
10/1/1946,-1.43,-0.64
11/1/1946,-0.91,-0.43
12/1/1946,-0.13,-0.87
1/1/1947,1.28,-1.02
2/1/1947,1.27,-0.68
3/1/1947,1.05,0.14
4/1/1947,0.09,1.11
5/1/1947,-1.79,-0.07
6/1/1947,-1.59,-1.07
7/1/1947,-0.86,-0.85
8/1/1947,0.36,0.12
9/1/1947,1.43,0.91
10/1/1947,1.24,0.6
11/1/1947,0.6,0.59
12/1/1947,-1.71,0.93
1/1/1948,-0.3,1.13
2/1/1948,0.06,0.55
3/1/1948,-0.12,-1.73
4/1/1948,-0.75,-1.1
5/1/1948,-1.12,-1.07
6/1/1948,0.11,-0.04
7/1/1948,0.42,0.23
8/1/1948,0.01,-0.18
9/1/1948,0.48,0.43
10/1/1948,0.11,0.25
11/1/1948,1.1,0.74
12/1/1948,0.78,0.65
1/1/1949,1.79,0.63
2/1/1949,0.16,1.07
3/1/1949,-0.11,0.65
4/1/1949,-0.83,1.52
5/1/1949,0.84,0.61
6/1/1949,1.28,1.15
7/1/1949,1.48,1.27
8/1/1949,0.5,0.6
9/1/1949,1.07,1.43
10/1/1949,0.82,1.36
11/1/1949,1.2,1.14
12/1/1949,0.02,0.89
1/1/1950,-1.71,0.64
2/1/1950,0.91,1.28
3/1/1950,1.08,0.28
4/1/1950,0.69,-0.28
5/1/1950,-0.59,0.05
6/1/1950,-1.62,-1.07
7/1/1950,-1.22,-0.99
8/1/1950,-1.72,-1.79
9/1/1950,-0.1,-0.66
10/1/1950,-0.04,-0.67
11/1/1950,0.58,-0.76
12/1/1950,-0.73,-0.4
1/1/1951,-1.21,-0.24
2/1/1951,-0.92,0.47
3/1/1951,-0.15,-0.93
4/1/1951,0.44,-0.5
5/1/1951,0.94,0.44
6/1/1951,0.69,0.54
7/1/1951,0.99,0.98
8/1/1951,0.25,0.4
9/1/1951,-0.33,-0.08
10/1/1951,-0.67,0.02
